model,validation_rmse_mm,cross_date_test_rmse_mm,test_p95_mm
zero_error,1.8531525774136863,3.9436697779146646,4.945942340884339
mean_bias,2.0024102847294567,2.416577043372428,3.29591667362068
ridge,1.9747840994755828,7.092909012680485,9.205898781055351
extra_trees,1.8247670067262418,1.7514252307865534,2.147516804076815
random_forest,1.8826928075473843,1.6526218301614182,2.1423488503602
rbf_kernel,1.9866029467982325,3.9514667666161243,4.954920593106252
mlp,2.0084523423610143,3.2307413906164144,4.264331487066649
