cell_id,method,reference_method,groups_total,groups_jointly_verified,paired_variants,feasibility_rate_difference,feasibility_ci_low,feasibility_ci_high,score_difference,score_ci_low,score_ci_high,wilcoxon_p_raw,wilcoxon_p_holm
iid_medium,deterministic_lns,assignment_milp,12,12,20,-0.041666666666666664,-0.125,0.0,-18.513433183711314,-23.753490655459533,-14.169221973819727,0.00048828125,0.015625
iid_medium,greedy,assignment_milp,12,12,20,-0.041666666666666664,-0.125,0.0,4.13560273136349,-0.2844829902449347,8.27363213114443,0.10986328125,0.76904296875
iid_medium,hungarian,assignment_milp,12,12,20,-0.041666666666666664,-0.125,0.0,0.806076235695714,-2.6755737060244225,4.189884985399873,0.85009765625,1.0
iid_medium,load_balanced,assignment_milp,12,12,20,-0.041666666666666664,-0.125,0.0,-6.957578231223446,-11.902415207556398,-2.874286687549703,0.0068359375,0.1162109375
iid_medium,assignment_milp,deterministic_lns,12,12,20,0.041666666666666664,0.0,0.125,18.513433183711314,13.993281382584819,23.81644163474083,0.00048828125,0.015625
iid_medium,greedy,deterministic_lns,12,12,20,0.0,0.0,0.0,22.649035915074805,17.627935035457426,27.47142468125586,0.00048828125,0.015625
iid_medium,hungarian,deterministic_lns,12,12,20,0.0,0.0,0.0,19.31950941940703,14.057873091419765,25.54014470360898,0.00048828125,0.015625
iid_medium,load_balanced,deterministic_lns,12,12,20,0.0,0.0,0.0,11.555854952487868,8.95872207354856,14.127819410995304,0.00048828125,0.015625
iid_small,deterministic_lns,assignment_milp,12,12,24,0.0,0.0,0.0,-5.406074832348726,-7.323685511247997,-3.415530874591157,0.00048828125,0.015625
iid_small,greedy,assignment_milp,12,12,24,0.0,0.0,0.0,3.869076986908992,1.118212491950322,6.424002607530648,0.0185546875,0.296875
iid_small,hungarian,assignment_milp,12,12,24,0.0,0.0,0.0,0.06428935506508153,-1.7294225406771249,1.6785369453637147,0.9658203125,1.0
iid_small,load_balanced,assignment_milp,12,12,24,0.0,0.0,0.0,0.6629753235418986,-1.7601293875795683,3.0099523179801126,0.5693359375,1.0
iid_small,assignment_milp,deterministic_lns,12,12,24,0.0,0.0,0.0,5.406074832348726,3.5078236820359443,7.332805700334027,0.00048828125,0.015625
iid_small,greedy,deterministic_lns,12,12,24,0.0,0.0,0.0,9.27515181925772,6.576181023832801,11.75719822147248,0.00048828125,0.015625
iid_small,hungarian,deterministic_lns,12,12,24,0.0,0.0,0.0,5.470364187413807,3.375099833201977,7.857794875388858,0.0009765625,0.0234375
