family,seeds,mean_validation_verified_coverage,min_validation_verified_coverage,mean_validation_assignment_accuracy,mean_validation_verified_score,median_validation_pipeline_runtime_s,mean_best_epoch,mean_epochs_completed,total_validation_failures
edge_mlp,3,0.9583333333333334,0.9583333333333334,0.6024288910194951,86.56771513106322,0.012760307639837265,18.666666666666668,28.666666666666668,6
hetero_gnn,3,0.8958333333333334,0.875,0.6113774368807925,87.80628148114683,0.014451374299824238,5.333333333333333,15.333333333333334,15
graph_transformer,3,0.888888888888889,0.875,0.605305209332055,87.17104992183253,0.014650574885308743,6.0,16.0,16
