cell,paired_difference,pair_pointer_coverage,matched_static_coverage
dense_precedence,0.48611111111111116,0.6805555555555556,0.19444444444444445
iid_medium,0.125,0.875,0.75
iid_small,0.0,1.0,1.0
resource_bottleneck,0.34722222222222227,0.6111111111111112,0.2638888888888889
scale,0.25,0.3194444444444444,0.06944444444444445
tight_windows,0.27777777777777773,0.4166666666666667,0.1388888888888889
