method,label,coverage,median_runtime_s,runtime_q1_s,runtime_q3_s,conditional_weighted_proxy_score,pair_pointer_dominated_by_hybrid_load_balanced
matched_static,Matched static,0.4027777777777778,0.006130135618150234,0.005446812603622675,0.008075370453298092,79.05467899625484,False
pair_pointer,Pair-Pointer,0.6504629629629629,0.4459936572238803,0.2258636555634439,0.7442616182379425,88.72346231677585,True
hybrid_load_balanced,Hybrid load-balanced,0.6875,0.020119045861065388,0.012823314405977726,0.026640312746167183,112.21311541489477,False
hybrid_assignment_milp,Hybrid MILP,0.7222222222222222,0.6651628650724888,0.06793261738494039,2.3752757757902145,105.42790480339922,False
order_aware_lns,Order-aware LNS,0.7986111111111112,0.4992695953696966,0.28396584186702967,0.6645293119363487,91.83268315789121,False
