method,mean_assignment_modifications,mean_order_modifications,mean_modified_atomic_units,mean_assignment_retention
cold_start,30.791666666666668,30.791666666666668,30.791666666666668,1.0
hybrid_assignment_milp,3.453125,13.078125,13.078125,0.870589293212574
hybrid_load_balanced,5.822916666666667,14.416666666666666,14.416666666666666,0.8108177573299441
matched_static,10.065972222222221,24.364583333333332,24.364583333333332,0.6880258468058748
pair_pointer,5.739837398373984,15.715447154471544,15.715447154471544,0.7738169695768516
