split,cell_id,method,groups,instances,verified_instances,group_verified_rate,group_verified_ci_low,group_verified_ci_high,conditional_mean_score,median_runtime_s,runtime_q1_s,runtime_q3_s
frozen_test,iid_medium,assignment_milp,12,24,21,0.875,0.75,1.0,92.13217487853413,0.2890732688829303,0.06559880217537284,0.5383941568434238
frozen_test,iid_medium,deterministic_lns,12,24,22,0.9166666666666666,0.7916666666666666,1.0,82.45809199338898,0.3528507063165307,0.3278901628218591,0.3815947729162872
frozen_test,iid_medium,edge_mlp_seed_17,12,24,22,0.9166666666666666,0.7916666666666666,1.0,90.46004382410199,0.005839490331709385,0.005302720237523317,0.006595362909138203
frozen_test,iid_medium,edge_mlp_seed_29,12,24,22,0.9166666666666666,0.7916666666666666,1.0,91.89739036758297,0.005615562200546265,0.005238447338342667,0.005974714178591967
frozen_test,iid_medium,edge_mlp_seed_43,12,24,21,0.875,0.75,1.0,88.81601689064263,0.005503722466528416,0.005103494040668011,0.0059841712936758995
frozen_test,iid_medium,greedy,12,24,21,0.875,0.75,1.0,99.2877800781276,0.014557561837136745,0.012875804677605629,0.016481838189065456
frozen_test,iid_medium,hungarian,12,24,22,0.9166666666666666,0.7916666666666666,1.0,98.29223835679421,0.0160684771835804,0.01417265459895134,0.01734179863706231
frozen_test,iid_medium,hybrid_assignment_milp,12,24,24,1.0,1.0,1.0,99.09535362722447,0.28067730087786913,0.07149294996634126,0.5391588942147791
frozen_test,iid_medium,hybrid_load_balanced,12,24,24,1.0,1.0,1.0,102.62954312775469,0.016771959140896797,0.015156275127083063,0.01801401749253273
frozen_test,iid_medium,load_balanced,12,24,22,0.9166666666666666,0.7916666666666666,1.0,99.6497905419747,0.015454553999006748,0.013445225544273853,0.01658109063282609
frozen_test,iid_medium,order_aware_lns,12,24,24,1.0,1.0,1.0,83.76308886441974,0.5011410312727094,0.45135447522625327,0.5438174875453115
frozen_test,iid_small,assignment_milp,12,24,24,1.0,1.0,1.0,34.361966169801704,0.010007072240114212,0.006620056461542845,0.04899312136694789
frozen_test,iid_small,deterministic_lns,12,24,24,1.0,1.0,1.0,32.083666329065856,0.17634822707623243,0.15610712068155408,0.19647930702194571
frozen_test,iid_small,edge_mlp_seed_17,12,24,23,0.9583333333333334,0.875,1.0,49.7774803411607,0.003252750262618065,0.0029176189564168453,0.003558011259883642
frozen_test,iid_small,edge_mlp_seed_29,12,24,23,0.9583333333333334,0.875,1.0,45.18405233263475,0.0031121596693992615,0.0028709443286061287,0.0034362045116722584
frozen_test,iid_small,edge_mlp_seed_43,12,24,24,1.0,1.0,1.0,46.49952231638935,0.003122866153717041,0.002868764102458954,0.0034254351630806923
frozen_test,iid_small,greedy,12,24,24,1.0,1.0,1.0,38.50605096329434,0.0059974584728479385,0.005209052935242653,0.006427333224564791
frozen_test,iid_small,hungarian,12,24,24,1.0,1.0,1.0,35.19744629574736,0.00609944760799408,0.00528756296262145,0.006519477814435959
