reference_method,groups,coverage_difference,coverage_ci_low,coverage_ci_high,coverage_wilcoxon_p_raw,coverage_wilcoxon_p_holm,cell_coverage_differences,joint_quality_groups,joint_quality_seed_variants,conditional_score_difference,conditional_score_wilcoxon_p_raw
hybrid_load_balanced,72,-0.12037037037037036,-0.1875,-0.05555555555555555,0.9999106287241375,1.0,"{'iid_medium': -0.09722222222222222, 'iid_small': -0.02777777777777778, 'ood_dense_precedence': -0.2638888888888889, 'ood_resource_bottleneck': -0.2361111111111111, 'ood_scale': -0.22222222222222224, 'ood_tight_windows': 0.125}",52,215,-25.48588517655912,1.001475449377436e-05
hybrid_assignment_milp,72,-0.1689814814814815,-0.23842592592592593,-0.09953703703703705,0.9999996204455215,1.0,"{'iid_medium': -0.09722222222222222, 'iid_small': -0.02777777777777778, 'ood_dense_precedence': -0.2638888888888889, 'ood_resource_bottleneck': -0.2777777777777778, 'ood_scale': -0.2638888888888889, 'ood_tight_windows': -0.08333333333333334}",54,221,-16.791260299816916,9.774450345381654e-05
order_aware_lns,72,-0.224537037037037,-0.29629629629629634,-0.15509259259259262,0.9999999996856559,1.0,"{'iid_medium': -0.09722222222222222, 'iid_small': -0.02777777777777778, 'ood_dense_precedence': -0.4305555555555556, 'ood_resource_bottleneck': -0.3194444444444444, 'ood_scale': -0.3472222222222222, 'ood_tight_windows': -0.125}",57,227,1.3759661603511317,0.17051577920537975
