split,method,instances,verified_count,verified_rate,median_runtime_s,mean_makespan_s,mean_load_variance_s2,mean_travel_setup_time_s
frozen_test,assignment_milp,6,4,0.6666666666666666,0.13351393502671272,45.16953984742413,13.484137609939788,40.585912815117176
frozen_test,deterministic_lns,6,4,0.6666666666666666,0.188697741512442,38.463039993977524,7.861710847143748,44.379706103614375
frozen_test,greedy,6,4,0.6666666666666666,0.008424971019849181,43.091877552919584,48.84799718163791,33.66772516740829
frozen_test,hungarian,6,3,0.5,0.008744718477828428,48.92571724848118,10.847348906064814,35.22758628226871
frozen_test,load_balanced,6,4,0.6666666666666666,0.008471852517686784,44.32611793354413,14.236702530724235,47.86878913471895
stress,assignment_milp,1,0,0.0,10.044092691037804,,,
stress,deterministic_lns,1,0,0.0,0.06995536899194121,,,
stress,greedy,1,0,0.0,0.03496438596630469,,,
stress,hungarian,1,0,0.0,0.0446955329971388,,,
stress,load_balanced,1,0,0.0,0.03494186099851504,,,
train,assignment_milp,8,8,1.0,0.012804958474589512,38.47308017786273,14.577169096753627,24.998066456263704
train,deterministic_lns,8,8,1.0,0.20531603301060386,31.95931646865438,11.716012717053633,25.657560974071306
train,greedy,8,8,1.0,0.005267209984594956,38.95700853875078,74.20587057088561,22.076717438573265
train,hungarian,8,8,1.0,0.005300211516441777,34.649144199021116,9.289062804723164,23.752568568623506
train,load_balanced,8,8,1.0,0.005225534492637962,37.996096384480694,31.33802092053308,27.05259857021564
validation,assignment_milp,4,3,0.75,0.019757291505811736,27.86453680875756,5.677794518658193,24.9597032258478
validation,deterministic_lns,4,3,0.75,0.13123351498506963,24.53097571499447,3.767378749909593,24.99236525225835
validation,greedy,4,2,0.5,0.003876732982462272,27.931174285118374,17.588910469240595,18.855553653832526
validation,hungarian,4,2,0.5,0.0038657099939882755,24.378440190040557,8.390129866750692,21.95884288717245
validation,load_balanced,4,3,0.75,0.004357566998805851,28.821602878593104,5.60810263034098,27.38170882733767
