variant,encoder,decoder,seeds,seed_coverages,mean_coverage,std_coverage,mean_pair_accuracy,mean_rollout_completion,mean_conditional_score,median_runtime_s,decoder_dead_ends,validation_failures
edge_mlp_static,edge_mlp,static,3,"{""101"": 0.4791666666666667, ""211"": 0.5, ""307"": 0.5}",0.4930555555555556,0.009820927516479817,,1.0,80.46287541487335,0.015420982614159584,0,73
hetero_gnn_static,hetero_gnn,static,3,"{""101"": 0.4791666666666667, ""211"": 0.5625, ""307"": 0.4791666666666667}",0.5069444444444445,0.0392837100659193,,1.0,88.60645674107546,0.01746993511915207,0,71
graph_transformer_static,graph_transformer,static,3,"{""101"": 0.4791666666666667, ""211"": 0.4583333333333333, ""307"": 0.5}",0.4791666666666667,0.0170103454359943,,1.0,87.51513481334642,0.018558776006102562,0,75
hetero_gnn_pair_pointer,hetero_gnn,feasible_pair_pointer,3,"{""101"": 0.7916666666666666, ""211"": 0.7916666666666666, ""307"": 0.7708333333333334}",0.7847222222222222,0.009820927516479791,0.21795750514050719,1.0,90.52471058093259,0.40024359337985516,0,31
graph_transformer_pair_pointer,graph_transformer,feasible_pair_pointer,3,"{""101"": 0.6875, ""211"": 0.6875, ""307"": 0.7708333333333334}",0.7152777777777778,0.039283710065919325,0.20973269362577107,1.0,90.45544477053996,0.4055921845138073,0,41
