split,cell_id,method,instances,verified_instances,candidate_coverage,mean_score_verified,median_runtime_s,status_counts
train,medium_balanced,deadline_assignment_milp_v2,48,48,1.0,74.92481560549875,0.18966038001235574,"{""optimal"": 48}"
train,medium_balanced,deadline_load_balanced_v2,48,48,1.0,94.88274816311453,0.01193780600442551,"{""feasible"": 48}"
train,medium_balanced,load_balanced_v1,48,48,1.0,49.628629610224095,0.01135839251219295,"{""feasible"": 48}"
train,medium_balanced,order_aware_lns_v2,48,48,1.0,55.090605473611504,0.4170252170006279,"{""feasible"": 48}"
train,medium_precedence,deadline_assignment_milp_v2,48,45,0.9375,92.10216342063475,0.3979530655196868,"{""feasible_limit"": 1, ""optimal"": 44, ""schedule_infeasible"": 3}"
train,medium_precedence,deadline_load_balanced_v2,48,45,0.9375,116.69091296301991,0.015055172028951347,"{""feasible"": 45, ""schedule_infeasible"": 3}"
train,medium_precedence,load_balanced_v1,48,42,0.875,58.233492859929875,0.01402973898802884,"{""feasible"": 42, ""schedule_infeasible"": 6}"
train,medium_precedence,order_aware_lns_v2,48,45,0.9375,67.7035982247646,0.4924697460082825,"{""feasible"": 45, ""schedule_infeasible"": 3}"
train,medium_resource,deadline_assignment_milp_v2,48,45,0.9375,88.44025585176648,0.3558650915219914,"{""feasible_limit"": 1, ""optimal"": 44, ""schedule_infeasible"": 3}"
train,medium_resource,deadline_load_balanced_v2,48,45,0.9375,112.49162981244817,0.015055447991471738,"{""feasible"": 45, ""schedule_infeasible"": 3}"
train,medium_resource,load_balanced_v1,48,40,0.8333333333333334,55.129434538007516,0.013738255016505718,"{""feasible"": 40, ""schedule_infeasible"": 8}"
train,medium_resource,order_aware_lns_v2,48,46,0.9583333333333334,65.05154874549476,0.46797398701892234,"{""feasible"": 46, ""schedule_infeasible"": 2}"
train,small_sparse,deadline_assignment_milp_v2,48,48,1.0,46.455712213014046,0.021174091001739725,"{""optimal"": 48}"
train,small_sparse,deadline_load_balanced_v2,48,48,1.0,56.56094471890325,0.005035195965319872,"{""feasible"": 48}"
train,small_sparse,load_balanced_v1,48,48,1.0,37.1296247693396,0.004990935995010659,"{""feasible"": 48}"
train,small_sparse,order_aware_lns_v2,48,48,1.0,39.486160004371094,0.2065169494599104,"{""feasible"": 48}"
validation,medium_balanced,deadline_assignment_milp_v2,12,12,1.0,84.88683848540303,0.2936096694902517,"{""optimal"": 12}"
validation,medium_balanced,deadline_load_balanced_v2,12,12,1.0,111.9759269187578,0.01378061602008529,"{""feasible"": 12}"
validation,medium_balanced,load_balanced_v1,12,12,1.0,53.50147210039506,0.013190403493354097,"{""feasible"": 12}"
validation,medium_balanced,order_aware_lns_v2,12,12,1.0,63.37519011038696,0.46756483500939794,"{""feasible"": 12}"
validation,medium_precedence,deadline_assignment_milp_v2,12,11,0.9166666666666666,110.83701715939607,0.48904138250509277,"{""optimal"": 11, ""schedule_infeasible"": 1}"
validation,medium_precedence,deadline_load_balanced_v2,12,11,0.9166666666666666,125.20664916635074,0.016623067029286176,"{""feasible"": 11, ""schedule_infeasible"": 1}"
validation,medium_precedence,load_balanced_v1,12,10,0.8333333333333334,62.01896406028381,0.016011076513677835,"{""feasible"": 10, ""schedule_infeasible"": 2}"
validation,medium_precedence,order_aware_lns_v2,12,11,0.9166666666666666,64.78636106106815,0.5002864185080398,"{""feasible"": 11, ""schedule_infeasible"": 1}"
validation,medium_resource,deadline_assignment_milp_v2,12,12,1.0,115.41309970127578,0.6681218995072413,"{""optimal"": 12}"
validation,medium_resource,deadline_load_balanced_v2,12,12,1.0,134.05116640697284,0.01784727949416265,"{""feasible"": 12}"
validation,medium_resource,load_balanced_v1,12,10,0.8333333333333334,64.9605167520584,0.016313912521582097,"{""feasible"": 10, ""schedule_infeasible"": 2}"
validation,medium_resource,order_aware_lns_v2,12,12,1.0,83.95679597236352,0.6413756885158364,"{""feasible"": 12}"
validation,small_sparse,deadline_assignment_milp_v2,12,12,1.0,39.71561412143286,0.014555648987879977,"{""optimal"": 12}"
validation,small_sparse,deadline_load_balanced_v2,12,12,1.0,41.45198460713083,0.0040179709903895855,"{""feasible"": 12}"
validation,small_sparse,load_balanced_v1,12,12,1.0,31.545718309325398,0.00399438850581646,"{""feasible"": 12}"
validation,small_sparse,order_aware_lns_v2,12,12,1.0,35.20693870876686,0.1638671914988663,"{""feasible"": 12}"
