split,cell_id,method,groups,instances,verified_instances,group_verified_rate,group_verified_ci_low,group_verified_ci_high,median_runtime_s,runtime_q1_s,runtime_q3_s,conditional_mean_score,conditional_mean_makespan_s,conditional_mean_load_variance_s2,conditional_mean_travel_setup_time_s
frozen_test,iid_medium,assignment_milp,12,24,21,0.875,0.75,1.0,0.23068521948880516,0.06460548400355037,0.6560748640040401,92.48054801788928,88.0224288569147,12.116737819805978,38.522822699842735
frozen_test,iid_medium,deterministic_lns,12,24,22,0.9166666666666666,0.7916666666666666,1.0,0.3850078434916213,0.3549606440064963,0.4205328992684372,82.45809199338898,77.67552717876796,11.536224257049444,42.057536017685486
frozen_test,iid_medium,greedy,12,24,21,0.875,0.75,1.0,0.013544220506446436,0.011448358767665923,0.015852429482038133,99.2877800781276,92.83982392624677,71.11553998566835,28.921791525974157
frozen_test,iid_medium,hungarian,12,24,22,0.9166666666666666,0.7916666666666666,1.0,0.014730299008078873,0.012731232010992244,0.016494464507559314,98.29223835679421,94.0769611596562,11.93495605928616,36.18529394173716
frozen_test,iid_medium,hybrid_assignment_milp,12,24,24,1.0,1.0,1.0,0.23164473398355767,0.06512565477169119,0.6568441529816482,99.39643177135316,94.43777428373295,11.594560679468607,43.78929453646795
frozen_test,iid_medium,hybrid_load_balanced,12,24,24,1.0,1.0,1.0,0.015477735520107672,0.014008201003889553,0.01763706750352867,102.62954312775469,96.38119604418026,16.170429852282428,54.39825590960314
frozen_test,iid_medium,load_balanced,12,24,22,0.9166666666666666,0.7916666666666666,1.0,0.014005378499859944,0.011816380749223754,0.0157272729993565,99.6497905419747,93.57640937416559,16.109093169975285,52.679265093103474
frozen_test,iid_medium,order_aware_lns,12,24,24,1.0,1.0,1.0,0.5576359300175682,0.49107623274903744,0.6084737755008973,83.76308886441974,78.57381353013525,11.937838976814136,45.92383385443784
frozen_test,iid_small,assignment_milp,12,24,24,1.0,1.0,1.0,0.02237467499799095,0.014449165988480672,0.08528981247218326,34.361966169801704,31.28585109638709,10.865729800745722,25.32828583377326
frozen_test,iid_small,deterministic_lns,12,24,24,1.0,1.0,1.0,0.19640586397144943,0.17190672348078806,0.21761888400942553,32.083666329065856,29.2076624302382,7.841370005100089,24.8393539857265
frozen_test,iid_small,greedy,12,24,24,1.0,1.0,1.0,0.005353510496206582,0.0045018012606306,0.005680556743755005,38.50605096329434,34.235796721901636,43.857286780360894,20.773899023746626
frozen_test,iid_small,hungarian,12,24,24,1.0,1.0,1.0,0.005391231505200267,0.004481153751839884,0.00579434925748501,35.19744629574736,32.25339620354316,11.450333856764056,23.715333993659993
frozen_test,iid_small,hybrid_assignment_milp,12,24,24,1.0,1.0,1.0,0.021959903999231756,0.014190075249643996,0.08858572100871243,34.061509879691904,30.882377896344256,10.86572980074572,26.358454933103665
